,age1,age2,daily_per_capita_contacts
0,<5,<5,2.160940833918119
1,5-17,<5,0.5973413405271149
2,18-49,<5,0.3822025191217617
3,50-64,<5,0.3523966597811896
4,65+,<5,0.18975609071541075
5,<5,5-17,2.164117384279739
6,5-17,5-17,8.146970087503425
7,18-49,5-17,2.431391745980527
8,50-64,5-17,1.885100325362032
9,65+,5-17,0.8929089276963574
10,<5,18-49,4.11917591841824
11,5-17,18-49,5.406032123327019
12,18-49,18-49,10.236283859611031
13,50-64,18-49,6.706928609713956
14,65+,18-49,2.39037020719936
15,<5,50-64,0.8085660224830034
16,5-17,50-64,0.7366175482973526
17,18-49,50-64,1.70068845968991
18,50-64,50-64,3.0596349022713474
19,65+,50-64,1.2034596887951288
20,<5,65+,0.2808456029008987
21,5-17,65+,0.2261465786834747
22,18-49,65+,0.2102197287500719
23,50-64,65+,0.5003303235100943
24,65+,65+,1.2322626069423352
